"108年04月 2603 長榮             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"108/04/01","8,934,715","106,053,529","11.95","12.00","11.80","11.85","-0.10","2,359",
"108/04/02","6,063,996","72,226,313","11.90","11.95","11.85","11.90","+0.05","1,644",
"108/04/03","8,491,794","101,587,942","12.00","12.00","11.90","12.00","+0.10","2,012",
"108/04/08","9,454,233","113,938,546","12.00","12.10","12.00","12.05","+0.05","2,095",
"108/04/09","5,047,081","60,678,422","12.05","12.05","12.00","12.05"," 0.00","1,268",
"108/04/10","4,681,984","56,271,908","12.00","12.05","12.00","12.05"," 0.00","1,628",
"108/04/11","10,465,227","127,706,124","12.05","12.30","12.05","12.20","+0.15","2,253",
"108/04/12","7,388,085","90,135,307","12.20","12.25","12.15","12.20"," 0.00","2,306",
"108/04/15","35,794,009","448,745,948","12.30","12.70","12.25","12.60","+0.40","6,222",
"108/04/16","19,332,365","245,316,200","12.70","12.80","12.60","12.65","+0.05","6,924",
"108/04/17","16,737,314","212,538,259","12.70","12.75","12.60","12.70","+0.05","5,348",
"108/04/18","18,303,103","231,276,524","12.70","12.80","12.45","12.60","-0.10","4,755",
"108/04/19","28,387,171","365,779,269","12.70","13.00","12.65","12.95","+0.35","6,347",
"108/04/22","31,494,532","421,236,555","13.10","13.60","13.05","13.30","+0.35","7,977",
"108/04/23","18,412,036","243,575,445","13.30","13.45","13.05","13.45","+0.15","4,668",
"108/04/24","14,775,374","197,530,615","13.50","13.60","13.15","13.20","-0.25","3,347",
"108/04/25","12,426,539","165,520,867","13.20","13.45","13.20","13.40","+0.20","2,483",
"108/04/26","7,486,919","99,022,554","13.35","13.35","13.15","13.30","-0.10","1,755",
"108/04/29","10,042,235","134,192,522","13.35","13.45","13.25","13.40","+0.10","2,161",
"108/04/30","12,933,200","174,512,572","13.50","13.60","13.40","13.55","+0.15","2,977",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

